jahr,stichtag,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2020,2020-12-31,230,Winterthur,70-74,Schweiz,männlich,1619,False
2020,2020-12-31,230,Winterthur,70-74,Schweiz,weiblich,2131,False
2020,2020-12-31,230,Winterthur,75-79,Ausland,männlich,264,False
2020,2020-12-31,230,Winterthur,75-79,Ausland,weiblich,235,False
2020,2020-12-31,230,Winterthur,75-79,Schweiz,männlich,1471,False
2020,2020-12-31,230,Winterthur,75-79,Schweiz,weiblich,1936,False
2020,2020-12-31,230,Winterthur,80-84,Ausland,männlich,206,False
2020,2020-12-31,230,Winterthur,80-84,Ausland,weiblich,225,False
2020,2020-12-31,230,Winterthur,80-84,Schweiz,männlich,895,False
2020,2020-12-31,230,Winterthur,80-84,Schweiz,weiblich,1441,False
2020,2020-12-31,230,Winterthur,85-89,Ausland,männlich,100,False
2020,2020-12-31,230,Winterthur,85-89,Ausland,weiblich,91,False
2020,2020-12-31,230,Winterthur,85-89,Schweiz,männlich,605,False
2020,2020-12-31,230,Winterthur,85-89,Schweiz,weiblich,1023,False
2020,2020-12-31,230,Winterthur,90-94,Ausland,männlich,27,False
2020,2020-12-31,230,Winterthur,90-94,Ausland,weiblich,29,False
2020,2020-12-31,230,Winterthur,90-94,Schweiz,männlich,265,False
2020,2020-12-31,230,Winterthur,90-94,Schweiz,weiblich,548,False
2020,2020-12-31,230,Winterthur,95+,Ausland,männlich,,True
2020,2020-12-31,230,Winterthur,95+,Ausland,weiblich,7,False
2020,2020-12-31,230,Winterthur,95+,Schweiz,männlich,44,False
2020,2020-12-31,230,Winterthur,95+,Schweiz,weiblich,177,False
2019,2019-12-31,230,Winterthur,00-04,Ausland,männlich,842,False
2019,2019-12-31,230,Winterthur,00-04,Ausland,weiblich,778,False
2019,2019-12-31,230,Winterthur,00-04,Schweiz,männlich,2348,False
2019,2019-12-31,230,Winterthur,00-04,Schweiz,weiblich,2307,False
2019,2019-12-31,230,Winterthur,05-09,Ausland,männlich,800,False
2019,2019-12-31,230,Winterthur,05-09,Ausland,weiblich,774,False
2019,2019-12-31,230,Winterthur,05-09,Schweiz,männlich,2172,False
2019,2019-12-31,230,Winterthur,05-09,Schweiz,weiblich,2119,False
2019,2019-12-31,230,Winterthur,10-14,Ausland,männlich,710,False
2019,2019-12-31,230,Winterthur,10-14,Ausland,weiblich,631,False
2019,2019-12-31,230,Winterthur,10-14,Schweiz,männlich,2192,False
2019,2019-12-31,230,Winterthur,10-14,Schweiz,weiblich,1962,False
2019,2019-12-31,230,Winterthur,15-19,Ausland,männlich,541,False
2019,2019-12-31,230,Winterthur,15-19,Ausland,weiblich,445,False
2019,2019-12-31,230,Winterthur,15-19,Schweiz,männlich,2110,False
2019,2019-12-31,230,Winterthur,15-19,Schweiz,weiblich,2007,False
2019,2019-12-31,230,Winterthur,20-24,Ausland,männlich,830,False
2019,2019-12-31,230,Winterthur,20-24,Ausland,weiblich,695,False
2019,2019-12-31,230,Winterthur,20-24,Schweiz,männlich,2886,False
2019,2019-12-31,230,Winterthur,20-24,Schweiz,weiblich,3131,False
2019,2019-12-31,230,Winterthur,25-29,Ausland,männlich,1313,False
2019,2019-12-31,230,Winterthur,25-29,Ausland,weiblich,1259,False
2019,2019-12-31,230,Winterthur,25-29,Schweiz,männlich,3848,False
2019,2019-12-31,230,Winterthur,25-29,Schweiz,weiblich,3943,False
2019,2019-12-31,230,Winterthur,30-34,Ausland,männlich,1601,False
2019,2019-12-31,230,Winterthur,30-34,Ausland,weiblich,1618,False
2019,2019-12-31,230,Winterthur,30-34,Schweiz,männlich,3751,False
2019,2019-12-31,230,Winterthur,30-34,Schweiz,weiblich,3483,False
2019,2019-12-31,230,Winterthur,35-39,Ausland,männlich,1732,False
2019,2019-12-31,230,Winterthur,35-39,Ausland,weiblich,1645,False
2019,2019-12-31,230,Winterthur,35-39,Schweiz,männlich,3091,False
2019,2019-12-31,230,Winterthur,35-39,Schweiz,weiblich,2916,False
2019,2019-12-31,230,Winterthur,40-44,Ausland,männlich,1489,False
2019,2019-12-31,230,Winterthur,40-44,Ausland,weiblich,1274,False
2019,2019-12-31,230,Winterthur,40-44,Schweiz,männlich,2584,False
2019,2019-12-31,230,Winterthur,40-44,Schweiz,weiblich,2604,False
2019,2019-12-31,230,Winterthur,45-49,Ausland,männlich,1216,False
2019,2019-12-31,230,Winterthur,45-49,Ausland,weiblich,1075,False
2019,2019-12-31,230,Winterthur,45-49,Schweiz,männlich,2535,False
2019,2019-12-31,230,Winterthur,45-49,Schweiz,weiblich,2677,False
2019,2019-12-31,230,Winterthur,50-54,Ausland,männlich,1094,False
2019,2019-12-31,230,Winterthur,50-54,Ausland,weiblich,883,False
2019,2019-12-31,230,Winterthur,50-54,Schweiz,männlich,2884,False
2019,2019-12-31,230,Winterthur,50-54,Schweiz,weiblich,3007,False
2019,2019-12-31,230,Winterthur,55-59,Ausland,männlich,909,False
2019,2019-12-31,230,Winterthur,55-59,Ausland,weiblich,735,False
2019,2019-12-31,230,Winterthur,55-59,Schweiz,männlich,2723,False
2019,2019-12-31,230,Winterthur,55-59,Schweiz,weiblich,3035,False
2019,2019-12-31,230,Winterthur,60-64,Ausland,männlich,601,False
2019,2019-12-31,230,Winterthur,60-64,Ausland,weiblich,498,False
2019,2019-12-31,230,Winterthur,60-64,Schweiz,männlich,2298,False
2019,2019-12-31,230,Winterthur,60-64,Schweiz,weiblich,2461,False
